animal,group,slice,y,x
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,409.3807763401109,1294.684842883549
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,408.6827309236948,1086.1887550200804
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,411.2101105845182,1190.909952606635
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,410.9561752988048,1587.9402390438247
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,422.5462365591398,1556.0440860215053
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,419.9522727272727,1333.293181818182
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,420.6697674418605,1041.2
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,432.09251101321587,997.8546255506608
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,440.5088495575221,1215.2898230088495
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,447.6281755196305,1667.906466512702
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,455.4339768339768,1255.276447876448
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,480.754219843557,1419.797447509263
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,470.4173228346457,756.7559055118111
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,471.5898203592814,794.1526946107784
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,477.11532385466035,1470.8436018957345
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,478.20846905537456,978.3550488599349
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,498.0514997170345,1258.5116015846068
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,481.96543778801845,1502.2396313364056
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,488.90315315315314,1221.5022522522522
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,489.2241379310345,1181.7629310344828
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,487.61073825503354,1539.1275167785234
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,507.7454128440367,774.7855504587156
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,499.46022727272725,1312.5667613636363
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,507.23571428571427,674.6785714285714
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,549.5300668151448,1192.5086859688197
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,545.506329113924,1672.026722925457
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,545.968085106383,1220.8909574468084
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,549.9279393173199,1538.7686472819216
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,545.9545454545455,471.13257575757575
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,559.7428909952606,1329.827606635071
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,549.6915254237288,1446.6305084745763
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,562.3117338003502,1398.4483362521892
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,573.0108108108108,1492.3675675675677
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,587.2889647326507,595.6114903299203
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,586.6290502793296,1661.927374301676
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,585.8844086021505,946.5698924731183
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,613.4264668529337,549.0416560833122
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,617.0963235294117,741.4216911764706
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,586.0049382716049,990.2987654320988
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,622.8745595489781,1243.758104298802
