animal,group,slice_count,n_cells_total,coverage_mean,dispersion_mean
rat12.10,mC,1,66,0.15056048120928311,0.9397242622819288
rat14.4,Gi,1,123,0.14685882142915105,0.8445372692986781
rat6.3,Gq,1,144,0.24472425164212036,1.0184616455439495
